,Time,Modelled Vertical Force,Modelled North Force,Modelled East Force,Inversed Vertical Force,Inversed North Force,Inversed East Force
133,135.74301676,1114529633.45,-2896318170.904084,2046262492.1351836,,,
134,136.748603352,1673786788.67,-3470346440.671511,2476204085.517425,,,
135,137.75418994400002,2213466062.72,-4004314804.712222,2950849187.525609,,,
136,138.759776536,2689511495.89,-4527571530.0015,3467100523.0339403,,,
137,139.765363128,3053853993.78,-5037956332.289847,3981487229.565512,,,
138,140.770949721,3270681713.91,-5478885636.321549,4411026027.639459,,,
139,141.776536313,3326571772.09,-5748830654.708757,4646774834.601427,,,
140,142.782122905,3222558919.07,-5743402178.966991,4571307435.323283,,,
141,143.78770949699998,2982515931.25,-5425358695.114561,4098807871.937791,,,
142,144.793296089,2687755812.99,-4895859504.035812,3256446024.203182,,,
143,145.798882682,2486875894.31,-4407592145.419775,2260543351.868025,,,
144,146.80446927399998,2527054723.81,-4245606409.456165,1437488903.8030295,,,
145,147.810055866,2839151419.3,-4523008019.202297,982381955.123804,,,
146,148.815642458,3277639237.9,-5063617470.433822,801900494.4009113,,,
147,149.82122905,3555029609.38,-5440061587.87916,569227839.0456085,,,
148,150.82681564199999,3344614837.33,-5119333900.702659,-103229592.53377318,,,
149,151.83240223500002,2432355644.64,-3694308688.691537,-1441049052.7282245,,,
150,152.837988827,885473334.6,-1172876954.789682,-3258496464.5624104,,,
151,153.843575419,-859352486.119,1828848762.748636,-4863477919.628437,,,
152,154.849162011,-2173584180.71,4312344999.252541,-5449137282.153872,,,
153,155.85474860300002,-2689190683.16,5597951391.370422,-4833682840.231745,,,
154,156.860335196,-2585043010.0,5833756882.596537,-3730937345.420415,,,
155,157.86592178799998,-2385023102.42,5764409188.560351,-3220060640.134176,,,
156,158.87150838,-2572690376.69,6159227344.675664,-4052420157.168579,,,
157,159.877094972,-3357419828.67,7417081978.332107,-6286579217.139963,,,
158,160.882681564,-4563064823.74,9353741466.681423,-9174497373.712715,,,
159,161.888268156,-5648223112.88,11186519084.801748,-11326703648.592045,,,
160,162.893854749,-6028741301.1,11960769296.807867,-11436189675.966911,,,
161,163.899441341,-5560887842.41,11259647120.227633,-9237671882.772938,,,
162,164.905027933,-4631228937.04,9434157278.602398,-5639803885.985239,,,
163,165.910614525,-3723928023.14,7132204076.773441,-1887151704.5800128,,,
164,166.916201117,-3024663506.56,4824635490.451022,1166638603.4071205,,,
165,167.921787709,-2434128843.48,2742531211.842407,3172744105.8300943,,,
166,168.927374302,-1803399181.8,997851289.6935456,4143571772.525849,,,
167,169.932960894,-1072907522.03,-360135541.3328903,4302457396.161335,,,
168,170.938547486,-244547663.402,-1370718643.418618,3958808564.5018167,,,
169,171.944134078,653251695.847,-2148108385.6058083,3407001187.92806,,,
170,172.94972067,1522626918.28,-2789207863.260334,2860289853.8200283,,,
171,173.955307263,2192514827.87,-3335530920.134427,2453957332.507436,,,
172,174.960893855,2518123636.55,-3831676333.199659,2280953512.492717,,,
173,175.966480447,2470325226.75,-4355069873.917398,2385773671.06525,,,
174,176.972067039,2140293301.03,-4977852250.605604,2742882624.9721384,,,
175,177.977653631,1689965270.95,-5702125515.203366,3260115672.894098,,,
176,178.983240223,1299216970.22,-6389455063.138843,3774288025.9477215,,,
177,179.988826816,1122795807.14,-6764761028.500527,4061751997.452562,,,
178,180.994413408,1215091476.41,-6574093280.338769,3938032848.3294497,,,
179,182.0,1466706036.97,-5779875359.5447,3379711766.2981515,-234341567.3563919,225484503.7924202,-155288224.41911697
180,183.005586592,1668119750.72,-4563205456.575888,2513643383.070437,,,
181,184.011173184,1657784063.84,-3156765295.3857937,1505611601.3560762,,,
182,185.016759777,1406778502.46,-1744490239.3183212,504955492.46404976,,,
183,186.022346369,1001792948.13,-475110420.7400779,-346976235.5573963,,,
184,187.027932961,572789605.21,536350542.9893229,-936222803.3310468,,,
185,188.033519553,211670609.51,1253484030.4511414,-1232166682.520185,,,
186,189.039106145,-70215364.7172,1741894871.430585,-1312311133.3315496,,,
187,190.044692737,-321237738.767,2127631465.5359068,-1317830769.5740304,,,
188,191.05027933,-591975895.053,2519216382.364356,-1372239692.7486396,,,
189,192.055865922,-893316211.533,2952315730.5416856,-1516743548.748557,,,
190,193.061452514,-1192537430.31,3384230308.301843,-1697587206.9134884,,,
191,194.067039106,-1432728027.71,3721764711.292919,-1803969438.7340596,,,
192,195.072625698,-1551012171.64,3856573597.021498,-1717801504.663983,,,
193,196.078212291,-1482133498.13,3700678757.1668434,-1357889931.3246098,,,
194,197.083798883,-1183814807.43,3231742739.5578127,-720256950.0106002,,,
195,198.089385475,-691740720.917,2519593292.1114235,113203605.03749669,,,
196,199.094972067,-120621893.401,1698019549.8102162,994688394.8951428,,,
197,200.100558659,406150967.875,914369228.2340052,1725784968.9947493,,,
198,201.106145251,812929932.945,275219420.9815427,2108602250.409922,,,
199,202.111731844,1063104805.16,-199628469.1437125,2054293869.1271465,,,
200,203.117318436,1133548285.72,-570402905.8627731,1630734860.2636547,,,
201,204.122905028,1034778253.92,-932781480.4800396,986063094.1562887,,,
202,205.12849162,827523342.311,-1357816893.4003932,261844160.89510256,,,
203,206.134078212,586421618.607,-1827546227.4094536,-423425749.3117642,,,
204,207.139664804,361444307.136,-2220017599.3163643,-963827318.3527268,,,
205,208.145251397,176860314.194,-2366429894.7209067,-1266407776.0512283,,,
206,209.150837989,49682136.0762,-2144235717.4204123,-1263746368.5276732,,,
207,210.156424581,-10159811.5458,-1554980598.324649,-958817126.3265553,,,
208,211.162011173,-16750935.8736,-774126249.0068417,-485076023.9055135,,,
209,212.167597765,-5235511.75186,-184960145.1590593,-116200220.17261566,,,
210,-196.0,,,,7105199965.865269,-9453811970.970469,16083646344.544577
211,-194.0,,,,91690761.18221092,-172736229.78819603,232548668.95352796
212,-192.0,,,,287986965.97633666,-304158921.4079733,417402764.28218806
213,-190.0,,,,401966231.8473697,-314472858.3196823,426043074.5416434
214,-188.0,,,,329013628.21712387,-201492665.91008157,280395542.2710434
215,-186.0,,,,141406274.58272097,-64316215.39216077,86598699.65183407
216,-184.0,,,,-45259023.36252582,10835539.287590625,-73488948.01709807
217,-182.0,,,,-165336077.86156523,23562008.663930416,-154412145.96539664
218,-180.0,,,,-213184879.1571516,22926577.661304712,-180045756.59086406
219,-178.0,,,,-186990717.14172435,35893425.33701658,-184146555.1552347
220,-176.0,,,,-88994907.09479451,52667704.20328379,-149074763.0368371
221,-174.0,,,,7962391.168638229,74567729.6302504,-72133333.46806216
222,-172.0,,,,33843282.59592056,110159692.57414135,-35460390.080476284
223,-170.0,,,,1453991.588918686,144441719.9737664,-106328911.65724324
224,-168.0,,,,-68701965.43728065,170272332.70824242,-228045005.34422004
225,-166.0,,,,-158868655.9841919,179343575.58613503,-341417316.6002166
226,-164.0,,,,-202030058.5780716,155557789.13302422,-433383678.5727761
227,-162.0,,,,-153620748.90335655,112917410.86129922,-461059131.4014065
228,-160.0,,,,-39996476.62550354,83191535.142483,-415087845.4691512
229,-158.0,,,,61283117.1980896,76772972.82299149,-333637665.64151263
230,-156.0,,,,73292801.10989761,80868524.87951377,-201879527.2061912
231,-154.0,,,,8756651.659423828,75561183.9202609,18004201.645825863
232,-152.0,,,,-53866854.07835388,28687903.83691657,289173670.7007585
233,-150.0,,,,-65493540.634246826,-66340833.072184086,543207351.5992583
234,-148.0,,,,-957079.9692687988,-166873642.40920556,750655730.5460627
235,-146.0,,,,150751223.52352905,-256116647.9295061,884747131.4914489
236,-144.0,,,,322346546.03646326,-328246764.3614269,906509761.1932484
237,-142.0,,,,409509618.5003948,-343467616.6217282,803702435.0465524
238,-140.0,,,,360852378.8190556,-298683582.36945903,596413710.7386029
239,-138.0,,,,171579511.96562004,-229804915.6356402,310740023.34054583
240,-136.0,,,,-85269087.28215027,-147852370.3603673,6463091.762026608
241,-134.0,,,,-287794748.7783165,-46881971.78531289,-243656221.79755795
242,-132.0,,,,-342700242.63930416,87315795.15078342,-452936514.5080349
243,-130.0,,,,-229327936.06973505,246432393.90292883,-658145706.2889106
244,-128.0,,,,-33587536.078762054,354570537.1949704,-819829811.7103231
245,-126.0,,,,109871425.59854317,352098855.3597951,-879173999.142545
246,-124.0,,,,134883402.72372103,246462214.5141698,-801714426.3421047
247,-122.0,,,,53910677.34375131,67493391.70302355,-594056240.6686189
248,-120.0,,,,-93825963.28656292,-93792141.05728218,-335284084.05886805
249,-118.0,,,,-214650527.551404,-124654402.88920592,-129157085.07066672
250,-116.0,,,,-239159642.4035301,-31887489.329708576,-38383201.33081859
251,-114.0,,,,-214412860.7447889,92836600.10954964,-51436169.82910597
252,-112.0,,,,-173905557.26239872,183236655.21505508,-67601199.2821436
253,-110.0,,,,-82860579.9217453,206150754.73260435,31362638.126035333
254,-108.0,,,,51681003.62205696,144903425.51852238,248583562.42855263
255,-106.0,,,,180659591.17147875,14428101.477003098,478766710.858811
256,-104.0,,,,268634571.1795416,-134829095.30720752,642601906.7679316
257,-102.0,,,,268702123.43718576,-249651391.0756984,703549240.2871605
